                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1341,                 2.8579,                 1.4464,                0.00614,                 0.7836,                0.10724,                0.04037,                 2.6916,                 3.9028,                 2.8609,             0.00032667,             0.00032667,             0.00032667
                      2,                 1.2961,                 2.4344,                 1.5389,                0.13348,                0.07552,                0.06089,                0.02309,                 2.4163,                    inf,                 3.6786,             0.00064693,             0.00064693,             0.00064693
                      3,                 1.3517,                 2.3164,                 1.5391,                0.34412,                0.15877,                0.01276,                0.00488,                 2.2876,                 36.686,                 3.6538,               0.000954,               0.000954,               0.000954
                      4,                 1.3109,                 2.1533,                 1.5012,                0.04557,                0.39359,                 0.0545,                0.02253,                 2.1634,                 5.9773,                 2.8484,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.2074,                 1.9667,                 1.4386,                0.11212,                 0.4249,                 0.1741,                0.10108,                 1.5163,                 3.6671,                 1.7666,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.2136,                 1.8881,                 1.4321,                 0.1661,                0.43738,                 0.2581,                0.15071,                 1.2512,                 3.0838,                 1.4963,               0.000901,               0.000901,               0.000901
                      7,                 1.1737,                 1.8029,                 1.4046,                0.15418,                0.53652,                0.25596,                0.14199,                 1.3181,                 2.1239,                 1.4908,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.1176,                 1.7615,                 1.3538,                0.17536,                0.59627,                0.30813,                0.20203,                 1.1986,                 2.1219,                 1.4474,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.0848,                  1.676,                 1.3377,                0.21709,                0.66048,                0.36407,                0.24223,                 1.1241,                 1.8509,                  1.373,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.0943,                 1.6739,                  1.358,                0.45182,                0.59875,                0.34842,                0.25903,                 1.0308,                 2.0693,                 1.3919,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.0873,                 1.5992,                 1.3361,                0.23964,                 0.5652,                 0.3612,                 0.2426,                 1.0642,                 1.8052,                 1.4107,               0.000802,               0.000802,               0.000802
                     12,                 1.0731,                 1.5776,                  1.348,                0.33041,                0.47666,                0.40316,                0.27475,                 1.0585,                 1.8969,                 1.3868,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.0319,                  1.549,                 1.3178,                0.28049,                0.64837,                0.35016,                0.25799,                0.94214,                 1.8671,                 1.2999,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.0225,                 1.4759,                 1.3053,                0.34016,                0.56117,                0.45233,                0.31873,                 1.0698,                 1.8753,                  1.376,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.0232,                 1.4623,                 1.3071,                0.34512,                0.64078,                0.47758,                   0.34,                 1.0355,                 1.5695,                 1.3491,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.0211,                 1.4613,                  1.303,                0.34233,                0.61977,                0.49257,                0.36764,                 0.9179,                 1.5087,                  1.292,               0.000703,               0.000703,               0.000703
