                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89326,                 3.1506,                 1.2398,                0.00774,                0.98536,                0.21428,                0.15537,                0.68768,                 3.2873,                 1.0782,             0.00032667,             0.00032667,             0.00032667
                      2,                0.95881,                 2.5677,                 1.2751,                0.44508,                0.15024,                 0.3064,                0.19519,                0.89639,                 2.6168,                   1.26,             0.00064693,             0.00064693,             0.00064693
                      3,                 1.0129,                 2.0319,                 1.3006,                0.29725,                0.53523,                0.38482,                0.24336,                 1.0601,                 2.4393,                  1.381,               0.000954,               0.000954,               0.000954
                      4,                 1.0011,                 1.7622,                 1.2758,                0.35298,                0.61364,                0.40207,                0.24413,                 1.1656,                 1.9582,                 1.4333,              0.0009406,              0.0009406,              0.0009406
                      5,                0.98691,                 1.6549,                 1.2697,                0.48154,                0.53525,                 0.4769,                0.32241,                0.94471,                 2.1811,                 1.2702,              0.0009208,              0.0009208,              0.0009208
                      6,                0.99506,                 1.5331,                 1.2574,                0.62256,                0.61261,                0.61423,                0.40107,                 1.0266,                 1.6963,                 1.3368,               0.000901,               0.000901,               0.000901
                      7,                0.97898,                 1.5063,                 1.2535,                0.55558,                0.61764,                0.60214,                0.42887,                0.94664,                 1.6118,                  1.265,              0.0008812,              0.0008812,              0.0008812
                      8,                0.91245,                  1.413,                 1.2037,                0.51083,                0.75147,                0.68596,                0.50472,                0.90472,                 1.4957,                 1.2044,              0.0008614,              0.0008614,              0.0008614
                      9,                0.90531,                 1.3228,                 1.1972,                 0.4751,                0.66796,                0.67901,                0.51413,                0.90326,                 1.5015,                 1.2178,              0.0008416,              0.0008416,              0.0008416
                     10,                0.90304,                 1.3189,                 1.2077,                0.63069,                0.62623,                0.65416,                0.48482,                 0.8886,                 1.3429,                 1.1904,              0.0008218,              0.0008218,              0.0008218
